age,housing,loan,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,sin_month,cos_month,sin_day_of_week,cos_day_of_week,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,poutcome_failure,poutcome_nonexistent,poutcome_success,contact_cellular,contact_telephone
30,1,0,487.0,2,999,0,-1.8,92.893,-46.2,1.313,5099.1,0.5000000000000003,-0.8660254037844385,-2.4492935982947064e-16,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
39,0,0,346.0,4,999,0,1.1,93.994,-36.4,4.855,5191.0,0.5000000000000003,-0.8660254037844385,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
25,1,0,227.0,1,999,0,1.4,94.465,-41.8,4.962,5228.1,1.2246467991473532e-16,-1.0,-0.587785252292473,-0.8090169943749475,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
47,1,0,58.0,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,-0.5000000000000004,0.8660254037844384,0.9510565162951536,0.3090169943749474,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
32,0,0,128.0,3,999,2,-1.1,94.199,-37.5,0.884,4963.6,-1.0,-1.8369701987210294e-16,-0.9510565162951536,0.3090169943749472,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
32,1,0,290.0,4,999,0,-1.1,94.199,-37.5,0.879,4963.6,-1.0,-1.8369701987210294e-16,0.9510565162951536,0.3090169943749474,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
41,1,0,44.0,2,999,0,-0.1,93.2,-42.0,4.191,5195.8,-0.5000000000000004,0.8660254037844384,0.9510565162951536,0.3090169943749474,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
31,0,0,68.0,1,999,1,-0.1,93.2,-42.0,4.153,5195.8,-0.5000000000000004,0.8660254037844384,0.5877852522924732,-0.8090169943749473,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35,0,0,170.0,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0.5000000000000003,-0.8660254037844385,-0.9510565162951536,0.3090169943749472,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
25,1,0,301.0,1,999,0,1.4,93.918,-42.7,4.958,5228.1,-0.4999999999999997,-0.8660254037844388,-0.9510565162951536,0.3090169943749472,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
36,0,0,148.0,1,999,0,1.4,93.918,-42.7,4.968,5228.1,-0.4999999999999997,-0.8660254037844388,-0.9510565162951536,0.3090169943749472,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
36,0,0,97.0,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0.5000000000000003,-0.8660254037844385,-0.587785252292473,-0.8090169943749475,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
47,1,0,211.0,2,999,0,1.4,94.465,-41.8,4.958,5228.1,1.2246467991473532e-16,-1.0,-0.9510565162951536,0.3090169943749472,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
